Judet,Alba,,
Nume,Prenume,Telefon,Data nasterii,Fotografie
Nume1,Prenume1,0723456781,3/15/1955,https://dummyimage.com/300x400/d400d4/fff.jpg&text=no+photo
Nume2,Prenume2,0723456782,4/16/1956,https://dummyimage.com/300x400/00d4a3/fff.jpg&text=Haralambie
Nume3,Prenume3,0723456783,5/17/1957,https://dummyimage.com/300x400/0eeb58/fff.jpg&text=Gruia
Nume4,Prenume4,0723456784,6/18/1958,https://dummyimage.com/300x400/ed9d07/fff.jpg&text=Casian
Judet,Arad,,
Nume,Prenume,Telefon,Data nasterii,Fotografie
Nume1,Prenume1,0723456781,3/15/1955,https://dummyimage.com/300x400/ed9d07/fff.jpg&text=Casian
Nume2,Prenume2,0723456782,4/16/1956,https://dummyimage.com/300x400/d400d4/fff.jpg&text=no+photo
Nume3,Prenume3,0723456783,5/17/1957,https://dummyimage.com/300x400/00d4a3/fff.jpg&text=Haralambie
Nume4,Prenume4,0723456784,6/18/1958,https://dummyimage.com/300x400/0eeb58/fff.jpg&text=Gruia
Judet,Arges,,
Nume,Prenume,Telefon,Data nasterii,Fotografie
Nume1,Prenume1,0723456781,3/15/1955,https://dummyimage.com/300x400/0eeb58/fff.jpg&text=Gruia
Nume2,Prenume2,0723456782,4/16/1956,https://dummyimage.com/300x400/ed9d07/fff.jpg&text=Casian
Nume3,Prenume3,0723456783,5/17/1957,https://dummyimage.com/300x400/d400d4/fff.jpg&text=no+photo
Nume4,Prenume4,0723456784,6/18/1958,https://dummyimage.com/300x400/00d4a3/fff.jpg&text=Haralambie
Judet,Bacau,,
Nume,Prenume,Telefon,Data nasterii,Fotografie
Nume1,Prenume1,0723456781,3/15/1955,https://dummyimage.com/300x400/00d4a3/fff.jpg&text=Haralambie
Nume2,Prenume2,0723456782,4/16/1956,https://dummyimage.com/300x400/0eeb58/fff.jpg&text=Gruia
Nume3,Prenume3,0723456783,5/17/1957,https://dummyimage.com/300x400/ed9d07/fff.jpg&text=Casian
Nume4,Prenume4,0723456784,6/18/1958,https://dummyimage.com/300x400/d400d4/fff.jpg&text=no+photo
Judet,Bihor,,
Nume,Prenume,Telefon,Data nasterii,Fotografie
Nume1,Prenume1,0723456781,3/15/1955,https://dummyimage.com/300x400/d400d4/fff.jpg&text=no+photo
Nume2,Prenume2,0723456782,4/16/1956,https://dummyimage.com/300x400/00d4a3/fff.jpg&text=Haralambie
Nume3,Prenume3,0723456783,5/17/1957,https://dummyimage.com/300x400/0eeb58/fff.jpg&text=Gruia
Nume4,Prenume4,0723456784,6/18/1958,https://dummyimage.com/300x400/ed9d07/fff.jpg&text=Casian
Judet,Bistrita Nasaud,,
Nume,Prenume,Telefon,Data nasterii,Fotografie
Nume1,Prenume1,0723456781,3/15/1955,https://dummyimage.com/300x400/ed9d07/fff.jpg&text=Casian
Nume2,Prenume2,0723456782,4/16/1956,https://dummyimage.com/300x400/d400d4/fff.jpg&text=no+photo
Nume3,Prenume3,0723456783,5/17/1957,https://dummyimage.com/300x400/00d4a3/fff.jpg&text=Haralambie
Nume4,Prenume4,0723456784,6/18/1958,https://dummyimage.com/300x400/0eeb58/fff.jpg&text=Gruia
Judet,Botosani,,
Nume,Prenume,Telefon,Data nasterii,Fotografie
Nume1,Prenume1,0723456781,3/15/1955,https://dummyimage.com/300x400/0eeb58/fff.jpg&text=Gruia
Nume2,Prenume2,0723456782,4/16/1956,https://dummyimage.com/300x400/ed9d07/fff.jpg&text=Casian
Nume3,Prenume3,0723456783,5/17/1957,https://dummyimage.com/300x400/d400d4/fff.jpg&text=no+photo
Nume4,Prenume4,0723456784,6/18/1958,https://dummyimage.com/300x400/00d4a3/fff.jpg&text=Haralambie
Judet,Braila,,
Nume,Prenume,Telefon,Data nasterii,Fotografie
Nume1,Prenume1,0723456781,3/15/1955,https://dummyimage.com/300x400/00d4a3/fff.jpg&text=Haralambie
Nume2,Prenume2,0723456782,4/16/1956,https://dummyimage.com/300x400/0eeb58/fff.jpg&text=Gruia
Nume3,Prenume3,0723456783,5/17/1957,https://dummyimage.com/300x400/ed9d07/fff.jpg&text=Casian
